"RDn(g1,ss4,t23)",-1.176836406102666e-14
"RDn(g1,ss2,t23)",-1.176836406102666e-14
"RDn(g1,ss0,t23)",-1.176836406102666e-14
"WindDA(w1,t7)",-8.881784197001252e-15
"RDn(g1,ss4,t18)",-8.43769498715119e-15
"RDn(g1,ss2,t18)",-8.43769498715119e-15
"RDn(g1,ss0,t18)",-8.43769498715119e-15
"WindDA(w1,t9)",-7.993605777301127e-15
"Pgen(g1,t24)",-7.105427357601002e-15
"Pgen(g1,t18)",-7.105427357601002e-15
"RCdn(g1,t24)",-7.105427357601002e-15
"RCdn(g1,t18)",-7.105427357601002e-15
"WindDA(w1,t1)",-7.105427357601002e-15
"RCdn(g1,t8)",-7.105427357601002e-15
"RCdn(g1,t3)",-7.105427357601002e-15
"Pgen(g1,t8)",-7.105427357601002e-15
"WindDA(w1,t6)",-7.105427357601002e-15
"Pgen(g1,t3)",-7.105427357601002e-15
"RCdn(g1,t11)",-7.105427357601002e-15
"Pgen(g1,t11)",-7.105427357601002e-15
"RDn(g1,ss4,t15)",-6.217248937900877e-15
"RDn(g1,ss2,t15)",-6.217248937900877e-15
"RDn(g1,ss0,t15)",-6.217248937900877e-15
"RDn(g1,ss4,t19)",-5.329070518200751e-15
"RDn(g1,ss0,t19)",-5.329070518200751e-15
"RDn(g1,ss2,t19)",-5.329070518200751e-15
"RDn(g1,ss0,t21)",-4.440892098500626e-15
"RDn(g1,ss4,t21)",-4.440892098500626e-15
"RDn(g1,ss2,t21)",-4.440892098500626e-15
"WindDA(w1,t2)",-3.552713678800501e-15
"RDn(g1,ss4,t2)",-3.552713678800501e-15
"RDn(g1,ss0,t2)",-3.552713678800501e-15
"RDn(g1,ss2,t2)",-3.552713678800501e-15
"WindDA(w1,t15)",-3.552713678800501e-15
"RDn(g1,ss2,t11)",-3.1086244689504383e-15
"WindDA(w1,t16)",-3.1086244689504383e-15
"RDn(g1,ss4,t11)",-3.1086244689504383e-15
"RDn(g1,ss0,t11)",-3.1086244689504383e-15
"WindDA(w1,t14)",-2.6645352591003757e-15
"RDn(g1,ss0,t20)",-2.220446049250313e-15
"RDn(g1,ss2,t20)",-2.220446049250313e-15
"WindDA(w1,t17)",-2.220446049250313e-15
"RDn(g1,ss4,t20)",-2.220446049250313e-15
"RDn(g1,ss4,t13)",-1.7763568394002505e-15
