ID,name,country,voltage,latitude,longitude
ne101,ne101,Z1,220,-,-
ne102,ne102,Z1,220,-,-
ne103,ne103,Z1,220,-,-
ne104,ne104,Z1,220,-,-
ne105,ne105,Z1,220,-,-
ne106,ne106,Z1,220,-,-
ne107,ne107,Z1,220,-,-
ne108,ne108,Z1,220,-,-
ne109,ne109,Z1,220,-,-
ne110,ne110,Z1,220,-,-
ne111,ne111,Z1,220,-,-
ne112,ne112,Z1,220,-,-
ne113,ne113,Z1,220,-,-
ne114,ne114,Z1,220,-,-
ne115,ne115,Z1,220,-,-
ne116,ne116,Z1,220,-,-
ne117,ne117,Z1,220,-,-
ne118,ne118,Z1,220,-,-
ne119,ne119,Z1,220,-,-
ne120,ne120,Z1,220,-,-
ne121,ne121,Z1,220,-,-
ne122,ne122,Z1,220,-,-
ne123,ne123,Z1,220,-,-
ne124,ne124,Z1,220,-,-
