TimeID,s1,s2
t1,0.645384133,0.322692067
t2,0.660281684,0.330140842
t3,0.689956145,0.344978073
t4,0.659183307,0.329591654
t5,0.669170325,0.334585163
t6,0.605630635,0.302815318
t7,0.553155278,0.276577639
t8,0.444893648,0.222446824
t9,0.349212788,0.174606394
t10,0.258306411,0.129153206
t11,0.198805224,0.099402612
t12,0.177673117,0.088836559
t13,0.182062344,0.091031172
t14,0.233489194,0.116744597
t15,0.26540187,0.132700935
t16,0.257246376,0.128623188
t17,0.215755277,0.107877639
t18,0.202387079,0.10119354
t19,0.192550434,0.096275217
t20,0.1811734,0.0905867
t21,0.161679853,0.080839927
t22,0.14981093,0.074905465
t23,0.129448929,0.064724465
t24,0.083591707,0.041795854
