ID,name,country,voltage,latitude,longitude
n101,n101,Z1,220,-,-
n102,n102,Z1,220,-,-
n103,n103,Z1,220,-,-
n104,n104,Z1,220,-,-
n105,n105,Z1,220,-,-
n106,n106,Z1,220,-,-
n107,n107,Z1,220,-,-
n108,n108,Z1,220,-,-
n109,n109,Z1,220,-,-
n110,n110,Z1,220,-,-
n111,n111,Z1,220,-,-
n112,n112,Z1,220,-,-
n113,n113,Z1,220,-,-
n114,n114,Z1,220,-,-
n115,n115,Z1,220,-,-
n116,n116,Z1,220,-,-
n117,n117,Z1,220,-,-
n118,n118,Z1,220,-,-
n119,n119,Z1,220,-,-
n120,n120,Z1,220,-,-
n121,n121,Z1,220,-,-
n122,n122,Z1,220,-,-
n123,n123,Z1,220,-,-
n124,n124,Z1,220,-,-
n201,n201,Z2,220,-,-
n202,n202,Z2,220,-,-
n203,n203,Z2,220,-,-
n204,n204,Z2,220,-,-
n205,n205,Z2,220,-,-
n206,n206,Z2,220,-,-
n207,n207,Z2,220,-,-
n208,n208,Z2,220,-,-
n209,n209,Z2,220,-,-
n210,n210,Z2,220,-,-
n211,n211,Z2,220,-,-
n212,n212,Z2,220,-,-
n213,n213,Z2,220,-,-
n214,n214,Z2,220,-,-
n215,n215,Z2,220,-,-
n216,n216,Z2,220,-,-
n217,n217,Z2,220,-,-
n218,n218,Z2,220,-,-
n219,n219,Z2,220,-,-
n220,n220,Z2,220,-,-
n221,n221,Z2,220,-,-
n222,n222,Z2,220,-,-
n223,n223,Z2,220,-,-
n224,n224,Z2,220,-,-
